sentence_id,documento,orden_frase,frase,tema,keyword_detectada,sentimiento,score_pos,score_neg,score_neu
filipinas_000002,filipinas,2,"DEDICADO EXCLUSIVAMENTE A LA MUJER La mujer sabla edifica de la nada su casa; mas la mujer Insensata lejos de edificar una casa que no existe, destruye con sus manos la que existe ya. (Prov.",mujer,mujer,negativo,0.0326475575566291,0.725612998008728,0.2417395114898681
filipinas_000002,filipinas,2,"DEDICADO EXCLUSIVAMENTE A LA MUJER La mujer sabla edifica de la nada su casa; mas la mujer Insensata lejos de edificar una casa que no existe, destruye con sus manos la que existe ya. (Prov.",hogar,casa,negativo,0.0326475575566291,0.725612998008728,0.2417395114898681
filipinas_000009,filipinas,9,"LA EDUCACION Y LA ENSEÑANZA EN LA MUJER Es imposible poner en duda la incompatibilidad de principios que constituyen la educación, porque si bien es cierto que en nuestros colegios se enseña el catecismo, se hacen aprender de memorin tratados de ética, también lo que es que las costumbres están en contradicción en los preceptos más generales de la verdadera moralidad.",mujer,mujer,negativo,0.022350313141942,0.7630230784416199,0.2146266400814056
filipinas_000009,filipinas,9,"LA EDUCACION Y LA ENSEÑANZA EN LA MUJER Es imposible poner en duda la incompatibilidad de principios que constituyen la educación, porque si bien es cierto que en nuestros colegios se enseña el catecismo, se hacen aprender de memorin tratados de ética, también lo que es que las costumbres están en contradicción en los preceptos más generales de la verdadera moralidad.",educacion,educación,negativo,0.022350313141942,0.7630230784416199,0.2146266400814056
filipinas_000009,filipinas,9,"LA EDUCACION Y LA ENSEÑANZA EN LA MUJER Es imposible poner en duda la incompatibilidad de principios que constituyen la educación, porque si bien es cierto que en nuestros colegios se enseña el catecismo, se hacen aprender de memorin tratados de ética, también lo que es que las costumbres están en contradicción en los preceptos más generales de la verdadera moralidad.",educacion,enseñanza,negativo,0.022350313141942,0.7630230784416199,0.2146266400814056
filipinas_000009,filipinas,9,"LA EDUCACION Y LA ENSEÑANZA EN LA MUJER Es imposible poner en duda la incompatibilidad de principios que constituyen la educación, porque si bien es cierto que en nuestros colegios se enseña el catecismo, se hacen aprender de memorin tratados de ética, también lo que es que las costumbres están en contradicción en los preceptos más generales de la verdadera moralidad.",educacion,colegios,negativo,0.022350313141942,0.7630230784416199,0.2146266400814056
filipinas_000010,filipinas,10,"La educación pues, que se dá á la niña es más incompleta, si cabe, que la dada á los niños, á nesar de que ella necesita más fortificar su débil razón para que pudiese portarse con verdadero discernimiento.",educacion,educación,negativo,0.0177268106490373,0.7761520147323608,0.2061212658882141
filipinas_000011,filipinas,11,"A más de ser incompleta, es contradictoria de todo punto con la conducta que debe segnir en el mundo, de suerte que la mujer entra en la vida relativa cabalmente con todas las ideas contrarias á la realidad de su dostino; y únienmente la vanidad, que es un cualidad natural de la mujer y que bien cultivada podría ser origen de grandes virtudes y abnegaciones se fomenta con exageración haciendo pasar á la niña los límites que podrían convenir á su felicidad y á la de los séres que la rodean en el seno de la familia.",mujer,mujer,negativo,0.0465366691350936,0.5417462587356567,0.4117170572280884
filipinas_000011,filipinas,11,"A más de ser incompleta, es contradictoria de todo punto con la conducta que debe segnir en el mundo, de suerte que la mujer entra en la vida relativa cabalmente con todas las ideas contrarias á la realidad de su dostino; y únienmente la vanidad, que es un cualidad natural de la mujer y que bien cultivada podría ser origen de grandes virtudes y abnegaciones se fomenta con exageración haciendo pasar á la niña los límites que podrían convenir á su felicidad y á la de los séres que la rodean en el seno de la familia.",hogar,familia,negativo,0.0465366691350936,0.5417462587356567,0.4117170572280884
filipinas_000014,filipinas,14,"El hombre, á medida que las ideas de justicia se vayan abriendo paso en el fondo oscuro de la conciencia, elevará á la mujer al pedestal que la corresponde: hará que la niña se instruya y se eduque conforme á su destino incumba; hará que la madre, primer agente poderoso de la moralidad social, hay recibido todos los conocimientos y conceptos que necesita para que su influencia en la niña, en el niño y en el hombre tenga toda la eficacia y trascendencia que la reputan posible.",mujer,mujer,positivo,0.5269240140914917,0.042947631329298,0.4301283955574035
