sentence_id,documento,orden_frase,frase,tema,keyword_detectada,sentimiento,score_pos,score_neg,score_neu
femina_000007,femina,7,"APARECE esta revista cientificoliteraria y de intereses generales en momentos bien aflictivos para la familia dominicana; aparece cuando sobre el santo suelo de la Patria soplan las ráfagas del mas insólito imperialismo; aparece cuando mas necesaria es una labor de cooperación, y cuando se necesita edificar con acciones y pensamientos de noble civismo y abnegación sin límites.",patria,patria,neutro,0.2997741997241974,0.2958005964756012,0.4044252634048462
femina_000007,femina,7,"APARECE esta revista cientificoliteraria y de intereses generales en momentos bien aflictivos para la familia dominicana; aparece cuando sobre el santo suelo de la Patria soplan las ráfagas del mas insólito imperialismo; aparece cuando mas necesaria es una labor de cooperación, y cuando se necesita edificar con acciones y pensamientos de noble civismo y abnegación sin límites.",hogar,familia,neutro,0.2997741997241974,0.2958005964756012,0.4044252634048462
femina_000007,femina,7,"APARECE esta revista cientificoliteraria y de intereses generales en momentos bien aflictivos para la familia dominicana; aparece cuando sobre el santo suelo de la Patria soplan las ráfagas del mas insólito imperialismo; aparece cuando mas necesaria es una labor de cooperación, y cuando se necesita edificar con acciones y pensamientos de noble civismo y abnegación sin límites.",colonialismo,imperialismo,neutro,0.2997741997241974,0.2958005964756012,0.4044252634048462
femina_000008,femina,8,"Verdad es que hasta ahora hemos podido, gracias a nuestra conducta loada con calor por los pueblos hermanos enclavados en el vasto continente colombino, impedir los designios, de la fuerza interventora que ha detentado nuestra preciosa soberanía por mas de seis años de dura servidumbre; cierto que a pesar de nuestra disparidad de criterios y de nuestras lamentables desavenencias en el modus procedendi para la reivindicación de nuestros derechos, hemos mantenido en alto la bandera de la rebeldía cívica; cierto, es verdad, todo ello; pero á nadie se le oculta que si hubiera existido un solo pensamiento, una sola acción para el logro de nuestro anhelo nos hubiésemos ahorrado muchos disgustos y no pocos entorpecimientos que han obrado en nuestro daño.",patria,soberanía,negativo,0.1275350302457809,0.5544728636741638,0.3179921507835388
femina_000008,femina,8,"Verdad es que hasta ahora hemos podido, gracias a nuestra conducta loada con calor por los pueblos hermanos enclavados en el vasto continente colombino, impedir los designios, de la fuerza interventora que ha detentado nuestra preciosa soberanía por mas de seis años de dura servidumbre; cierto que a pesar de nuestra disparidad de criterios y de nuestras lamentables desavenencias en el modus procedendi para la reivindicación de nuestros derechos, hemos mantenido en alto la bandera de la rebeldía cívica; cierto, es verdad, todo ello; pero á nadie se le oculta que si hubiera existido un solo pensamiento, una sola acción para el logro de nuestro anhelo nos hubiésemos ahorrado muchos disgustos y no pocos entorpecimientos que han obrado en nuestro daño.",colonialismo,soberanía,negativo,0.1275350302457809,0.5544728636741638,0.3179921507835388
femina_000011,femina,11,"La única identidad nuestra solo ha consistido en oponer como infranqueable valor a los aviesos tanteos del ocupante, nuestra rotunda negativa.",colonialismo,ocupante,negativo,0.0053295870311558,0.9200199246406556,0.0746505334973335
femina_000012,femina,12,Somos el pueblo ...,patria,pueblo,neutro,0.2053103595972061,0.1589042395353317,0.6357853412628174
femina_000015,femina,15,"Pero a nuestro entender eso no basta, ya, preciso procurar poner en juego nuestras actividades colectivas con una orientación exclusiva y absoluta; es preciso tratar de que no haya un solo elemento social que permanezca inactivo en la ardua tarea de romper nuestras cadenas, y de ahí que hayamos concebido el propósito de publicar una revista en que, laborando por la unificación nacional, ofrezca ancho campo a la mujer dominicana, para que tan poderoso agente produzca sin el menor estorbo, su acción fecunda y bienhechora.",mujer,mujer,neutro,0.2012087255716323,0.1953586786985397,0.6034326553344727
femina_000015,femina,15,"Pero a nuestro entender eso no basta, ya, preciso procurar poner en juego nuestras actividades colectivas con una orientación exclusiva y absoluta; es preciso tratar de que no haya un solo elemento social que permanezca inactivo en la ardua tarea de romper nuestras cadenas, y de ahí que hayamos concebido el propósito de publicar una revista en que, laborando por la unificación nacional, ofrezca ancho campo a la mujer dominicana, para que tan poderoso agente produzca sin el menor estorbo, su acción fecunda y bienhechora.",patria,nacional,neutro,0.2012087255716323,0.1953586786985397,0.6034326553344727
femina_000016,femina,16,"La mujer nuestra, deseosa de arrimar el hombro á la causa nacional, solo ha podido hasta el presente prestar una ayuda material y secundaria, cuando bien podría con su inteligencia difundir virtud y cultura en las masas populares.",mujer,mujer,positivo,0.4383124113082886,0.1896442174911499,0.3720433712005615
